f2b_bird_id,f2b_bird_name,superset_bird_id,superset_bird_name,superset_bird_cleaned_name,superset_bird_type,superset_bird_nsyll
0,B303,1,B303,B303,tutored,5
1,B497,2,B497,B497,tutored,6
2,G225,4,G225,G225,tutored,4
3,G380,7,G380,G380,tutored,8
4,G488,8,G488,G488,tutored,4
5,R423,17,R423,R423,tutored,4
6,S371,22,S371,S371,tutored,8
7,G487,24,G487,G487,tutored,4
8,S493,NA,NA,NA,NA,NA
9,Y485,NA,NA,NA,NA,NA
10,O144,36,O144,O144,isolated,4
11,O254,37,O254,O254,isolated,3
12,S132,46,S132,S132,isolated,4
13,B258,32,B258,B258,isolated,4
14,P127,40,pur127,P127,isolated,6
15,P128,41,Pur128,P128,isolated,5
16,P131,42,Pure131,P131,isolated,4
17,P132,43,Pur132,P132,isolated,3
